houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips
10606634,2,3.0000,4.0000,4.0000,4.0000,4.0000,370.22,6,20
10617685,1,2.0000,2.0000,2.0000,2.0000,2.0000,32.00,8,4
10619915,2,0.0000,3.0000,1.0000,1.0000,2.0000,12.00,2,4
10625907,1,2.0000,2.0000,2.0000,1.0000,2.0000,83.00,6,11
10642780,1,7.0000,7.0000,5.0000,5.0000,4.0000,159.89,18,32
10643835,2,1.0000,5.0000,2.0000,1.0000,2.0000,304.00,16,19
10649912,1,2.0000,2.0000,2.0000,2.0000,2.0000,38.00,10,5
10651643,1,1.0000,1.0000,1.0000,0.0000,1.0000,15.00,7,6
10652547,2,2.0000,6.0000,2.0000,2.0000,2.0000,336.00,6,20
10653133,2,0.0000,1.0000,0.0000,0.0000,1.0000,4.11,1,4
10654813,1,2.0000,2.0000,2.0000,0.0000,2.0000,12.44,10,5
10657421,1,1.0000,2.0000,2.0000,1.0000,2.0000,39.00,18,4
10670840,1,1.0000,1.0000,1.0000,0.0000,1.0000,96.00,5,2
10672367,1,1.0000,1.0000,1.0000,1.0000,1.0000,36.00,17,2
10672899,1,1.0000,1.0000,1.0000,1.0000,1.0000,18.00,3,4
10674325,1,2.0000,2.0000,2.0000,2.0000,2.0000,94.00,11,8
10676244,2,1.0000,1.0000,1.0000,0.0000,1.0000,20.00,-7,5
10677278,2,2.0000,2.0000,2.0000,2.0000,2.0000,102.44,6,12
10679517,2,3.0000,3.0000,3.0000,3.0000,3.0000,35.00,13,10
10679722,1,2.0000,2.0000,2.0000,1.0000,2.0000,10.00,16,3
10695209,1,2.0000,3.0000,2.0000,2.0000,3.0000,60.00,4,5
10696699,1,2.0000,3.0000,2.0000,2.0000,2.0000,5.00,5,3
10706561,1,2.0000,3.0000,3.0000,3.0000,2.0000,78.00,16,7
10712544,1,2.0000,6.0000,2.0000,1.0000,2.0000,106.00,18,34
10714061,1,1.0000,1.0000,1.0000,0.0000,1.0000,2.00,8,2
10725937,1,2.0000,2.0000,2.0000,2.0000,2.0000,99.00,16,12
10735226,2,1.0000,2.0000,2.0000,2.0000,2.0000,12.00,11,5
10746987,1,1.0000,4.0000,2.0000,2.0000,2.0000,24.00,7,6
10772829,1,2.0000,6.0000,2.0000,2.0000,2.0000,64.72,18,21
10784309,1,1.0000,2.0000,1.0000,0.0000,2.0000,20.00,8,8
10792706,1,2.0000,2.0000,2.0000,0.0000,2.0000,32.00,18,8
10799068,2,0.0000,3.0000,0.0000,0.0000,1.0000,2.67,-8,8
10806984,1,1.0000,2.0000,2.0000,0.0000,2.0000,39.00,-7,8
10808063,1,1.0000,2.0000,2.0000,0.0000,2.0000,22.00,18,5
10815427,1,2.0000,2.0000,2.0000,0.0000,2.0000,44.00,11,8
10825293,1,1.0000,1.0000,1.0000,0.0000,1.0000,12.00,6,4
10836552,1,2.0000,2.0000,2.0000,0.0000,2.0000,502.00,7,14
10838275,1,2.0000,4.0000,2.0000,1.0000,2.0000,1052.00,14,5
10839290,1,3.0000,3.0000,2.0000,2.0000,2.0000,64.00,17,9
10852851,1,2.0000,4.0000,3.0000,1.0000,2.0000,124.00,18,16
10856457,1,3.0000,2.0000,2.0000,2.0000,2.0000,173.00,13,7
10867695,1,4.0000,3.0000,3.0000,1.0000,2.0000,23.00,6,7
